#,Performer,Lead_Streams,Tracks,1b+,100m+,10m+,1m+,min,debut,artist_type,,Featured Streams,Last Update
594,"Jos?Jos?,1",819,"635""","110,812,739",448,0,1,164,9/29/21,solo,594,408,46
595,R. Kelly,"1,818,765,772",360,0,2,27,195,10/30/93,10253,solo,595,"369,434,506",9/2/21
596,Bethel Music,"1,817,317,476",285,0,0,43,240,NA,NA,group,596,0,9/30/21
597,Cali Y El Dandee,"1,807,094,119",60,0,5,28,52,NA,NA,group,597,"165,763,977",2/19/21
598,Luan Santana,"1,802,590,547",197,0,3,36,150,NA,NA,solo,598,"225,489,694",11/23/21
599,Rascal Flatts,"1,799,864,611",227,0,4,26,114,5/6/00,7873,group,599,"49,788,758",9/2/21
600,Red Velvet,"1,799,371,536",118,0,5,25,103,NA,NA,group,600,"11,633,120",11/23/21
601,Jaden,"1,797,223,538",110,0,2,37,94,NA,NA,solo,601,"1,309,766,537",11/14/21
602,Gotye,"1,788,466,941",56,0,2,9,25,5/5/12,3491,solo,602,"4,367,557",2/7/21
603,Vampire Weekend,"1,788,416,615",74,0,2,45,67,NA,NA,group,603,0,11/17/21
604,Jay Wheeler,"1,780,230,033",102,0,2,28,76,NA,NA,solo,604,"375,864,947",11/19/21
605,The Clash,"1,777,564,972",236,0,3,22,92,3/22/80,15223,group,605,0,11/7/21
606,Astrid S,"1,776,939,827",100,0,4,34,76,NA,NA,solo,606,"116,767,544",7/6/21
607,M83,"1,775,895,331",238,0,2,20,111,NA,NA,group,607,"14,860,363",11/17/21
608,Aloe Blacc,"1,775,884,212",208,0,4,21,64,12/28/13,2889,solo,608,"229,455,652",11/21/21
609,Sido,"1,773,546,049",359,0,2,40,173,NA,NA,solo,609,"458,747,712",9/21/21
610,Marco Antonio Sol?,"1,772,036,257",210,0,3,37,153,NA,NA,solo,610,"585,715,407",11/19/21
611,Ms. Lauryn Hill,"1,771,091,283",89,0,5,24,56,NA,NA,solo,611,"281,629,726",11/18/21
612,Rod Wave,"1,768,977,459",111,0,3,45,107,11/23/19,733,solo,612,"45,376,681",11/22/21
613,Jessie Reyez,"1,766,165,665",61,0,3,25,54,NA,NA,solo,613,"459,720,608",11/3/21
614,OMI,"1,765,777,327",43,1,2,7,26,5/9/15,2392,solo,614,"119,271,377",10/16/21
615,"M?,1",761,"850""","3,191,790,440",112,0,4,78,10/20/21,solo,615,472,29
616,MC Kevinho,"1,759,208,143",59,0,3,31,49,NA,NA,solo,616,"252,393,656",6/21/21
617,Willy William,"1,753,410,087",81,1,3,11,27,NA,NA,solo,617,"324,137,636",11/10/21
618,The Smashing Pumpkins,"1,751,426,436",418,0,5,23,130,11/11/95,9511,group,618,0,10/8/21
619,Joyner Lucas,"1,747,515,348",83,0,3,32,76,NA,NA,solo,619,"651,141,507",9/22/21
620,Stefflon Don,"1,747,116,518",76,0,6,20,59,NA,NA,solo,620,"301,319,490",11/21/21
621,Pharrell Williams,"1,746,361,341",108,0,2,20,59,1/18/14,2868,solo,621,"5,676,294,521",11/4/21
622,TINI,"1,742,090,768",65,0,5,28,58,NA,NA,solo,622,"235,495,583",11/23/21
623,Kacey Musgraves,"1,741,415,685",126,0,2,36,88,12/29/12,3253,solo,623,"115,099,876",11/22/21
624,Joey Bada$$,"1,738,277,747",111,0,3,44,90,NA,NA,solo,624,"649,525,855",11/15/21
625,Goodboys,"1,733,504,326",38,0,3,7,15,NA,NA,group,625,"3,127,165",7/13/21
626,Limp Bizkit,"1,729,420,743",114,0,5,21,93,7/31/99,8153,group,626,"2,809,309",2/22/21
627,Joel Corry,"1,727,811,323",134,0,5,10,47,NA,NA,solo,627,"14,348,295",11/7/21
628,Joan Sebastian,"1,722,021,223",470,0,2,32,188,NA,NA,solo,628,0,10/31/20
629,Annie Lennox,"1,720,968,638",322,0,3,20,78,5/16/92,10785,solo,629,"7,891,814",10/8/21
630,Mike WiLL Made-It,"1,719,563,002",135,0,5,27,68,NA,NA,solo,630,"238,152,584",5/8/21
631,Natanael Cano,"1,717,611,497",116,0,3,38,107,NA,NA,solo,631,"164,203,938",11/16/21
632,Sleeping At Last,"1,715,283,824",275,0,3,37,162,NA,NA,group,632,"90,559",7/30/21
633,Tom Odell,"1,712,455,024",125,0,3,23,72,NA,NA,solo,633,"41,497,248",11/18/21
634,Thirty Seconds To Mars,"1,711,915,432",83,0,4,32,74,8/5/06,5591,group,634,"45,274,414",9/16/21
635,SEVENTEEN,"1,710,634,558",132,0,1,45,126,NA,NA,group,635,0,11/19/21
636,The Kooks,"1,709,760,603",230,0,5,27,94,NA,NA,group,636,0,7/19/21
637,Westlife,"1,709,498,431",217,0,2,35,141,4/1/00,7908,group,637,"20,678",11/7/21
638,Lord Huron,"1,706,099,834",75,0,3,20,66,5/6/17,1664,group,638,0,9/25/21
639,Leon Bridges,"1,705,965,071",70,0,3,35,68,NA,NA,solo,639,"180,835,227",11/5/21
640,Portugal. The Man,"1,704,124,466",170,0,1,25,86,7/8/17,1601,group,640,"40,958,424",2/22/21
641,DMX,"1,704,072,208",299,0,4,22,92,8/15/98,8503,solo,641,"227,586,047",11/23/21
642,Olly Murs,"1,697,526,985",179,0,4,23,108,NA,NA,solo,642,"26,746,459",9/14/21
643,Lofi Fruits Music,"1,690,425,100","1,087",0,0,15,448,NA,NA,solo,643,"110,241,102",9/6/21
644,El Fantasma,"1,689,393,864",183,0,2,47,136,NA,NA,solo,644,"43,098,880",8/18/21
645,Loud Luxury,"1,688,216,803",129,0,2,21,42,NA,NA,group,645,"44,501,635",9/4/21
646,Danna Paola,"1,687,431,847",103,0,5,28,66,NA,NA,solo,646,"49,384,920",11/22/21
647,Snow Patrol,"1,686,701,694",191,0,2,22,97,6/3/06,5654,group,647,"88,965",11/7/21
648,Trevor Daniel,"1,684,760,342",48,1,2,12,43,11/30/19,726,solo,648,"162,409,345",11/7/21
649,Keane,"1,675,260,458",194,0,2,23,104,2/12/05,6130,group,649,"576,623",11/1/21
650,Ha*Ash,"1,673,935,756",125,0,3,37,90,NA,NA,group,650,"389,904,885",10/31/21
651,Kontra K,"1,667,863,518",224,0,0,49,146,NA,NA,solo,651,"175,041,048",5/15/21
652,Nekfeu,"1,663,428,661",95,0,0,64,88,NA,NA,solo,652,"420,126,358",10/22/21
653,Calle 13,"1,662,465,310",81,0,4,32,76,NA,NA,group,653,"101,517,310",11/17/21
654,Ciara,"1,661,765,807",155,0,4,23,86,10/29/05,5871,solo,654,"421,915,122",11/16/21
655,Michael Silverman,"1,660,294,072",934,0,0,45,224,NA,NA,solo,655,"202,368",2/26/21
656,Topic,"1,653,586,230",80,0,2,16,45,NA,NA,solo,656,"5,769,890",8/12/21
657,Queens of the Stone Age,"1,653,412,930",142,0,2,39,106,NA,NA,group,657,0,7/11/21
658,Booba,"1,652,026,341",235,0,0,47,188,NA,NA,solo,658,"622,348,667",11/12/21
659,Owl City,"1,651,691,885",109,0,2,25,101,9/5/09,4464,group,659,"83,245,272",8/18/21
660,Santana,"1,650,082,208",614,0,4,24,125,10/25/69,19024,group,660,"3,221,169",10/21/21
661,The Who,"1,643,130,538",776,0,6,14,91,3/27/65,20697,group,661,0,11/8/21
662,Gerardo Ortiz,"1,642,590,276",233,0,1,36,170,NA,NA,solo,662,"411,753,848",2/12/21
663,Swedish House Mafia,"1,641,850,031",36,0,5,16,30,NA,NA,group,663,"1,825,989",10/18/21
664,Dierks Bentley,"1,641,067,921",149,0,4,24,85,6/21/03,6732,solo,664,"151,851,446",9/2/21
665,Ben Howard,"1,637,484,586",60,0,4,27,50,NA,NA,solo,665,"463,674",10/23/21
666,Moneybagg Yo,"1,634,135,129",252,0,0,40,181,5/23/20,551,solo,666,"860,173,671",10/22/21
667,Blueface,"1,631,127,998",91,0,4,26,70,1/26/19,1034,solo,667,"524,266,933",11/21/21
668,Kelly Rowland,"1,628,739,740",173,0,4,17,68,9/28/02,6998,solo,668,"661,225,693",1/22/21
669,Afrojack,"1,628,200,244",305,0,2,32,121,NA,NA,solo,669,"1,395,253,007",5/2/21
670,Incubus,"1,624,593,194",229,0,3,28,128,2/17/01,7586,group,670,0,9/2/21
671,Gryffin,"1,624,514,140",120,0,6,24,72,NA,NA,group,671,"414,715,959",4/23/21
672,Thalia,"1,622,253,319",305,0,2,29,124,NA,NA,solo,672,"271,576,142",11/23/21
673,MAX,"1,621,199,905",138,0,4,26,76,NA,NA,solo,673,"167,174,319",10/19/21
674,Apache 207,"1,620,466,836",33,0,2,31,33,NA,NA,solo,674,"108,273,271",8/6/21
675,Elevation Worship,"1,620,461,758",240,0,1,34,169,NA,NA,group,675,"12,831,641",10/1/21
676,Powfu,"1,617,907,608",66,1,1,12,62,NA,NA,solo,676,"107,941,893",9/3/21
677,Tee Grizzley,"1,617,436,989",129,0,3,24,109,4/22/17,1678,solo,677,"139,751,443",5/12/21
678,Lil Dicky,"1,616,460,233",22,0,5,16,22,5/4/19,936,solo,678,"114,899,323",9/3/21
679,Chief Keef,"1,614,052,564",541,0,4,24,171,12/29/12,3253,solo,679,"519,905,496",11/21/21
680,Yo Gotti,"1,612,651,009",479,0,2,27,130,11/28/09,4380,solo,680,"1,174,641,342",7/4/21
681,Los Tigres Del Norte,"1,612,543,190",629,0,0,34,233,NA,NA,group,681,"141,929,772",9/6/21
682,Wham!,"1,609,412,513",36,0,2,8,28,9/8/84,13592,group,682,"808,507",11/20/21
683,Gigi D'Agostino,"1,607,853,514",423,1,2,7,29,8/4/01,7418,solo,683,"811,917",7/2/21
684,CHVRCHES,"1,607,772,407",119,0,2,31,84,NA,NA,group,684,"5,112,920",11/6/21
685,ANAVIT?IA,"1,604,934,820",72,0,3,38,68,NA,NA,group,685,"218,486,067",11/19/21
686,La Oreja de Van Gogh,"1,604,731,207",182,0,2,35,161,NA,NA,group,686,"56,855,566",10/26/21
687,Cosculluela,"1,602,713,772",125,0,4,23,82,NA,NA,solo,687,"854,087,172",2/15/21
688,Gwen Stefani,"1,601,811,461",99,0,3,17,66,10/16/04,6249,solo,688,"870,826,371",11/23/21
689,M?ley Cr?,"1,600,546,756",225,0,4,21,87,NA,NA,solo,689,"664,118",10/28/21
690,KISS,"1,597,372,365",411,0,3,15,128,5/25/74,17351,group,690,0,6/9/21
691,Quinn XCII,"1,592,676,323",69,0,3,41,69,NA,NA,solo,691,0,11/14/20
692,TKKG,"1,590,067,517","4,763",0,0,0,28,NA,NA,solo,692,0,1/2/21
693,Beret,"1,586,857,502",48,0,3,40,47,NA,NA,solo,693,"43,424,522",10/4/21
694,Kollegah,"1,584,591,974",551,0,0,39,289,NA,NA,solo,694,"94,663,622",10/14/21
695,Leona Lewis,"1,581,821,580",132,0,4,17,73,3/1/08,5017,solo,695,"47,749,062",11/18/21
696,Fr??ic Chopin,"1,580,987,576","9,790",0,0,20,229,NA,NA,solo,696,"1,163,362",8/6/21
697,Charlie Brown Jr.,"1,580,294,868",278,0,0,30,160,NA,NA,solo,697,"35,076,703",10/3/21
698,Wale,"1,580,208,020",238,0,3,33,130,7/2/16,1972,solo,698,"1,154,717,634",1/5/21
699,Darell,"1,574,554,327",126,0,4,29,87,NA,NA,solo,699,"4,304,120,013",11/17/21
700,Conor Maynard,"1,573,210,113",128,0,3,37,81,NA,NA,solo,700,"290,548,203",7/10/21
701,The Jackson 5,"1,571,846,155",346,0,3,12,47,NA,NA,group,701,"2,144,710",11/21/21
702,Daya,"1,567,388,316",43,0,4,17,38,10/3/15,2245,solo,702,"1,974,448,643",10/21/21
703,"Zo?,1",566,"419""","8,309,495",188,0,3,109,1/29/21,NA,703,169,38
704,Sting,"1,564,202,740",470,0,3,21,189,6/8/85,13319,solo,704,"226,814,010",11/16/21
705,fun.,"1,563,903,413",26,0,3,16,25,3/10/12,3547,group,705,"179,922",9/22/21
706,Yung Gravy,"1,560,336,653",72,0,3,29,69,NA,NA,solo,706,"9,378,234",11/21/21
707,Old Dominion,"1,558,080,029",74,0,6,25,51,7/25/15,2315,group,707,"2,210,265",9/3/21
708,Lady A,"1,553,890,200",220,0,2,24,120,10/31/20,390,group,708,"123,565,129",9/3/21
709,Gente De Zona,"1,552,539,697",111,0,3,20,76,NA,NA,group,709,"1,252,561,307",9/23/21
710,Taio Cruz,"1,550,632,393",94,0,4,14,41,6/19/10,4177,solo,710,"24,092,972",11/5/21
711,Martin Jensen,"1,550,508,031",68,0,3,19,41,NA,NA,solo,711,"248,746,085",1/11/21
712,Nas,"1,546,917,718",302,0,2,32,163,4/16/94,10085,solo,712,"652,936,327",1/6/21
713,Denzel Curry,"1,546,909,214",116,0,2,39,88,NA,NA,solo,713,"424,111,467",11/15/21
714,Miranda Lambert,"1,546,512,686",192,0,1,29,150,12/17/05,5822,solo,714,"174,891,428",11/23/21
715,John Lennon,"1,545,199,176",464,0,3,20,84,11/10/73,17547,solo,715,"5,571,538",10/29/21
716,Die drei !!!,"1,543,605,722","2,798",0,0,0,58,NA,NA,solo,716,"23,498,439",10/9/21
717,League of Legends,"1,542,483,725",409,0,3,21,94,NA,NA,group,717,"762,686,358",11/21/21
718,Guaynaa,"1,541,206,062",60,0,5,16,39,NA,NA,solo,718,"88,976,740",11/6/21
719,Aitana,"1,540,430,203",66,0,4,26,64,NA,NA,solo,719,"4,339,688",11/23/21
720,Sufjan Stevens,"1,537,720,483",388,0,1,26,170,NA,NA,solo,720,"30,503,692",8/7/21
721,Dilsinho,"1,536,975,587",138,0,3,29,116,NA,NA,solo,721,"323,485,409",10/20/21
722,Casper Magico,"1,532,557,006",80,0,2,17,54,NA,NA,solo,722,"158,823,124",1/2/21
723,Roxette,"1,528,539,038",384,0,3,18,89,2/11/89,11975,group,723,"300,550",11/21/21
724,Arcade Fire,"1,527,258,745",103,0,3,44,82,9/28/13,2980,group,724,0,10/22/21
725,Mon Laferte,"1,527,168,401",137,0,4,29,107,NA,NA,solo,725,"276,176,756",11/22/21
726,AJ Tracey,"1,519,957,902",98,0,4,28,83,NA,NA,solo,726,"127,208,628",10/27/21
727,David Bisbal,"1,516,626,351",242,0,2,29,116,NA,NA,solo,727,"609,850,259",10/19/21
728,Niska,"1,516,560,541",92,0,1,43,89,NA,NA,solo,728,"532,738,249",9/16/21
729,Lee Brice,"1,514,026,248",94,0,6,14,65,5/22/10,4205,solo,729,"12,190,065",9/3/21
730,"Jack ?,1",509,"886""","912,261",32,0,3,30,12/26/20,NA,730,853,10
731,Stromae,"1,507,956,942",46,0,4,23,36,NA,NA,solo,731,"56,961,811",11/7/21
732,Felipe Ara?o,"1,507,060,178",97,0,5,18,64,NA,NA,solo,732,"144,991,670",9/3/21
733,Bruno & Marrone,"1,499,184,205",411,0,1,29,185,NA,NA,group,733,"204,065,915",8/31/21
734,Shania Twain,"1,498,859,487",170,0,4,24,98,5/27/95,9679,solo,734,"178,767,118",11/20/21
735,The Pussycat Dolls,"1,495,427,167",54,0,4,14,40,10/22/05,5878,group,735,"20,067,111",10/10/21
736,Ice Cube,"1,494,097,969",265,0,3,20,145,11/21/92,10596,solo,736,"176,529,482",1/28/21
737,Neil Young,"1,492,248,289",856,0,3,22,131,10/24/70,18660,solo,737,"17,581,131",9/2/21
738,Ezhel,"1,491,005,951",60,0,0,41,56,NA,NA,solo,738,"152,991,420",10/30/21
739,Paul Simon,"1,490,036,511",429,0,3,20,104,2/5/72,18191,solo,739,"68,021,453",10/6/21
740,Kevin Roldan,"1,489,016,332",126,0,2,29,89,NA,NA,solo,740,"399,120,073",6/11/21
741,Saweetie,"1,488,280,564",62,0,4,23,51,7/13/19,866,solo,741,"338,462,005",11/16/21
742,Internet Money,"1,487,270,931",40,0,3,10,23,NA,NA,group,742,"240,760,241",9/8/21
743,girl in red,"1,485,001,883",29,0,5,19,29,NA,NA,solo,743,"3,955,840",11/17/21
744,The National,"1,481,830,520",209,0,1,43,137,NA,NA,group,744,"68,728,009",10/7/21
745,Bullet For My Valentine,"1,479,980,833",172,0,2,37,94,NA,NA,group,745,"27,792",11/6/21
746,Sean Kingston,"1,478,550,000",127,0,5,16,44,6/9/07,5283,solo,746,"131,894,349",9/25/21
747,Martin Solveig,"1,474,236,399",247,0,5,16,60,NA,NA,solo,747,"1,215,667",2/12/21
748,MKTO,"1,469,541,117",29,0,1,14,28,3/1/14,2826,group,748,"10,444,447",9/3/21
749,Simple Plan,"1,468,658,373",119,0,4,29,88,2/15/03,6858,group,749,"1,825,700",11/19/21
750,KSI,"1,464,984,108",114,0,0,37,85,NA,NA,solo,750,"24,459,778",11/3/21
751,Banda El Recodo,"1,464,524,587",550,0,1,36,155,NA,NA,group,751,"1,277,033",2/24/21
752,Yusuf / Cat Stevens,"1,461,402,233",325,0,3,18,64,NA,NA,solo,752,"15,764,014",10/22/21
753,Yellow Claw,"1,460,222,344",238,0,2,30,115,NA,NA,group,753,"76,991,831",7/9/21
754,Nat King Cole,"1,459,023,413","1,088",0,2,25,103,8/2/58,23126,solo,754,"6,746,115",9/2/21
755,Chayanne,"1,458,798,729",235,0,2,25,91,NA,NA,solo,755,"106,591,871",8/31/21
756,Kiiara,"1,457,204,493",71,0,3,18,35,6/11/16,1993,solo,756,"270,410,790",10/21/21
757,Gera MX,"1,455,062,887",159,0,1,41,136,NA,NA,solo,757,"345,236,961",11/9/21
758,Sade,"1,450,857,847",110,0,4,33,104,3/2/85,13417,solo,758,"1,363,686",11/22/21
759,Chencho Corleone,"1,448,969,842",18,0,5,13,17,NA,NA,solo,759,"825,057,723",11/11/21
760,Plan B,"1,448,270,585",62,0,4,19,52,NA,NA,solo,760,0,11/15/20
761,Lionel Richie,"1,447,451,297",268,0,5,17,69,10/9/82,14292,solo,761,"46,509,966",10/22/21
762,Brad Paisley,"1,444,090,352",233,0,1,34,126,6/19/99,8195,solo,762,"54,065,740",11/5/21
763,*NSYNC,"1,441,613,779",92,0,5,15,70,NA,NA,group,763,"19,570,857",11/23/21
764,Maria Becerra,"1,441,045,287",31,0,2,21,31,NA,NA,solo,764,"257,120,783",11/23/21
765,John Newman,"1,439,605,622",82,0,3,12,53,12/7/13,2910,solo,765,"331,748,009",3/24/21
766,Nina Simone,"1,438,858,558",546,0,2,22,124,8/1/59,22762,solo,766,"15,465,627",10/6/21
767,Jowell & Randy,"1,437,376,703",171,0,3,23,88,NA,NA,group,767,"749,282,863",11/22/21
768,Granular,"1,434,614,692",432,0,2,19,69,NA,NA,group,768,0,3/5/21
769,will.i.am,"1,433,088,634",99,0,4,14,42,8/25/07,5206,solo,769,"1,873,458,305",11/13/21
770,Bea Miller,"1,432,267,142",42,0,4,22,42,8/15/15,2294,solo,770,"994,601,822",11/22/21
771,Nipsey Hussle,"1,430,729,695",282,0,2,30,135,NA,NA,solo,771,"226,102,540",8/9/21
772,Alex Rose,"1,427,992,828",61,0,3,24,56,NA,NA,solo,772,"417,963,769",7/7/21
773,Feid,"1,427,618,166",117,0,2,26,80,NA,NA,solo,773,"1,929,273,342",11/18/21
774,Chelsea Cutler,"1,426,164,636",78,0,3,28,65,NA,NA,solo,774,"432,991,241",7/16/21
775,DJ Luian,"1,425,231,812",52,0,4,15,41,NA,NA,solo,775,"1,986,428,348",2/22/21
776,Electric Light Orchestra,"1,422,261,000",235,0,3,16,111,4/28/73,17743,group,776,"22,736,509",1/4/21
777,Los Temerarios,"1,420,543,713",322,0,0,46,128,NA,NA,group,777,0,10/5/21
778,DENNIS,"1,419,916,276",305,0,4,30,120,NA,NA,solo,778,"117,580,197",6/20/21
779,Rich Brian,"1,418,561,123",54,0,4,35,53,NA,NA,solo,779,"492,602,813",11/23/21
780,Natalia Lafourcade,"1,418,040,225",174,0,3,28,113,NA,NA,solo,780,"781,127,916",11/11/21
781,Lily Allen,"1,416,696,030",114,0,3,22,78,2/10/07,5402,solo,781,"279,853,586",8/15/21
782,Kylie Minogue,"1,416,431,644",869,0,2,28,157,5/7/88,12255,solo,782,"106,243,198",10/20/21
783,Tech N9ne,"1,413,659,255",451,0,0,27,219,NA,NA,solo,783,"538,028,931",10/8/21
784,KALEO,"1,411,975,390",27,0,3,17,25,NA,NA,group,784,"26,463",11/22/21
785,Mambo Kingz,"1,409,982,433",36,0,5,11,14,NA,NA,group,785,"1,796,968,260",2/26/21
786,Baby Lullaby Academy,"1,409,215,562","2,087",0,0,52,164,NA,NA,solo,786,"30,122,083",9/22/21
787,CRO,"1,408,564,715",139,0,1,34,116,NA,NA,solo,787,"150,788,270",11/18/21
788,Dolly Parton,"1,408,501,618",948,0,3,13,124,1/26/74,17470,solo,788,"121,299,239",12/31/20
789,deadmau5,"1,406,999,842",433,0,1,27,188,NA,NA,solo,789,"88,245,746",7/24/21
790,Oh Wonder,"1,399,959,459",68,0,5,30,58,NA,NA,group,790,"586,287,924",11/16/21
791,Brett Young,"1,398,473,369",60,0,4,18,40,10/1/16,1881,solo,791,"15,239,416",11/20/21
792,The Goo Goo Dolls,"1,396,855,854",248,0,2,13,69,NA,NA,group,792,"279,713",3/23/21
793,Dido,"1,396,480,606",198,0,3,14,81,1/13/01,7621,solo,793,"4,928,461",11/11/21
794,Tracy Chapman,"1,395,108,953",102,0,4,14,85,6/4/88,12227,solo,794,"75,841,079",11/18/21
795,Jay Chou,"1,394,403,171",297,0,0,45,162,NA,NA,solo,795,"20,862,440",4/2/21
796,Mike Perry,"1,392,920,550",32,0,2,17,31,NA,NA,solo,796,0,11/14/20
797,Tom Walker,"1,391,545,813",82,0,3,20,54,NA,NA,solo,797,"90,387,030",9/20/21
798,Ghostemane,"1,384,997,008",139,0,2,32,102,NA,NA,solo,798,"53,311,906",10/19/21
799,Tears For Fears,"1,384,372,781",209,0,2,11,56,8/6/83,13991,group,799,"2,292,383",11/21/21
800,Greeicy,"1,381,227,182",52,0,3,27,47,NA,NA,solo,800,"41,902,219",10/31/21
801,Tina Turner,"1,381,216,176",240,0,5,15,74,1/21/84,13823,solo,801,"19,812,390",11/21/21
802,Cyndi Lauper,"1,380,474,811",218,0,3,7,31,12/17/83,13858,solo,802,"6,148,041",11/23/21
803,Ruth B.,"1,379,219,593",44,0,3,12,30,NA,NA,solo,803,"4,223,091",10/18/21
804,Audioslave,"1,378,753,093",58,0,5,16,46,11/23/02,6942,group,804,0,11/20/21
805,Mr. Probz,"1,378,183,383",36,0,2,11,30,9/6/14,2637,solo,805,"227,072,647",9/3/21
806,Cigarettes After Sex,"1,378,174,690",30,0,3,28,30,NA,NA,group,806,"2,126,632",10/17/21
807,Ferrugem,"1,372,026,685",134,0,1,33,107,NA,NA,solo,807,"226,582,639",8/14/21
808,James TW,"1,370,209,304",30,0,3,18,30,NA,NA,solo,808,0,11/14/20
809,Selena,"1,367,944,255",134,0,3,23,86,10/28/95,9525,solo,809,"2,164,261",11/21/21
810,YUNGBLUD,"1,367,258,954",77,0,2,32,60,NA,NA,solo,810,"366,326,991",10/17/21
811,Olivia O'Brien,"1,365,047,441",51,0,3,19,40,1/14/17,1776,solo,811,"1,318,584,669",10/15/21
812,Dennis Lloyd,"1,359,049,478",33,0,2,17,29,8/4/18,1209,solo,812,0,6/20/21
813,Lenny Kravitz,"1,358,689,094",269,0,4,19,96,1/27/90,11625,solo,813,"49,645,626",11/13/21
814,Lil Kleine,"1,358,325,437",106,0,0,41,88,NA,NA,solo,814,"312,526,315",10/31/21
815,Willie Nelson,"1,357,834,751","1,494",0,3,21,128,8/30/75,16889,solo,815,"211,167,459",9/2/21
816,Summer Cem,"1,357,000,399",177,0,2,31,105,NA,NA,solo,816,"264,671,653",2/5/21
817,Lu?a Sonza,"1,356,808,087",60,0,3,28,48,NA,NA,solo,817,"1,765,982",11/23/21
818,Lalo Ebratt,"1,355,512,932",44,0,6,14,34,NA,NA,solo,818,"54,847,249",1/22/21
819,Angus & Julia Stone,"1,354,613,988",153,0,3,26,88,NA,NA,group,819,0,11/14/20
820,Gavin James,"1,353,919,817",105,0,3,26,80,NA,NA,solo,820,"52,147,623",2/19/21
821,Bing Crosby,"1,353,425,915","1,203",0,2,23,68,12/20/58,22986,solo,821,"9,003,222",1/5/21
822,Sof? Reyes,"1,350,697,207",48,0,2,18,38,NA,NA,solo,822,"181,173,447",11/17/21
823,ZZ Top,"1,350,669,708",268,0,3,14,92,5/20/72,18086,group,823,"98,095",11/18/21
824,Will Smith,"1,346,736,771",86,0,4,15,45,2/28/98,8671,solo,824,"29,772,595",10/27/21
825,LUDMILLA,"1,345,505,029",135,0,0,33,114,NA,NA,solo,825,"361,825,762",11/21/21
826,IU,"1,343,290,505",159,0,2,25,84,NA,NA,solo,826,"59,265,401",11/23/21
827,Alina Baraz,"1,333,938,711",76,0,3,26,62,NA,NA,solo,827,"26,975,250",11/2/21
828,Jack & Jack,"1,333,223,893",44,0,2,15,42,8/23/14,2651,group,828,"43,745,345",8/30/21
829,Bill Withers,"1,332,850,466",119,0,4,10,58,7/17/71,18394,solo,829,"37,292,559",4/5/21
830,Surfaces,"1,332,266,175",64,0,1,16,50,3/14/20,621,group,830,0,9/3/21
831,Jeezy,"1,327,116,650",599,0,1,26,179,NA,NA,solo,831,"1,246,803,557",8/29/21
832,Oliver Tree,"1,325,146,275",48,0,3,25,45,NA,NA,solo,832,"38,047,893",11/13/21
833,Wolfgang Amadeus Mozart,"1,323,952,565","11,669",0,0,14,180,NA,NA,solo,833,"4,758,138",9/13/21
834,WILLOW,"1,321,481,170",75,0,3,14,66,NA,NA,solo,834,"217,433,972",11/21/21
835,Jasmine Thompson,"1,317,231,334",108,0,3,35,83,NA,NA,solo,835,0,11/5/20
836,TLC,"1,317,160,190",173,0,3,9,50,2/22/92,10869,group,836,"205,691,801",11/15/21
837,Lil Xan,"1,315,933,907",76,0,3,17,57,12/2/17,1454,solo,837,"15,365,065",11/23/21
838,Blur,"1,311,460,535",355,0,2,18,85,1/11/92,10911,group,838,"15,936",9/27/21
839,Tori Kelly,"1,309,236,588",97,0,3,23,72,3/14/15,2448,solo,839,"452,407,194",11/7/21
840,Alvaro Soler,"1,307,458,976",90,0,2,16,60,NA,NA,solo,840,"26,316,017",10/9/21
841,Ella Fitzgerald,"1,306,751,857","1,952",0,1,19,138,4/30/60,22489,solo,841,"11,252,389",12/27/20
842,Maggie Lindemann,"1,302,589,177",25,0,2,12,25,NA,NA,solo,842,"2,301,151",11/21/21
843,Jon Pardi,"1,301,565,161",63,0,4,16,46,11/30/13,2917,solo,843,"94,534,699",5/7/21
844,Spice Girls,"1,299,207,069",106,0,2,11,36,1/25/97,9070,group,844,"614,376",11/23/21
845,Cher,"1,297,191,966",397,0,2,17,67,7/3/65,20599,solo,845,"12,139,593",11/22/21
846,Lupe Fiasco,"1,296,058,560",168,0,3,18,118,6/17/06,5640,solo,846,"223,273,708",10/27/21
847,Genesis,"1,295,454,874",354,0,2,25,139,3/12/77,16329,group,847,"658,083",1/7/21
848,Sin Bandera,"1,294,370,986",114,0,4,21,81,NA,NA,group,848,"78,541,133",2/9/21
849,Eladio Carrion,"1,292,336,279",111,0,3,28,96,NA,NA,solo,849,"167,582,058",11/18/21
850,Mary J. Blige,"1,289,394,631",368,0,2,26,130,6/20/92,10750,solo,850,"1,819,034,323",10/3/21
851,Brantley Gilbert,"1,288,253,176",112,0,2,30,82,7/9/11,3792,solo,851,"100,016,251",9/3/21
852,NCT 127,"1,287,608,692",122,0,0,37,95,NA,NA,group,852,"40,825,553",11/22/21
853,Ramin Djawadi,"1,286,775,894",885,0,0,26,244,NA,NA,solo,853,"12,413,030",2/26/21
854,Louis Armstrong,"1,285,502,051","1,476",0,3,18,109,10/3/64,20872,solo,854,"12,982,577",1/4/21
855,Snakehips,"1,284,895,360",64,0,3,17,45,NA,NA,group,855,"87,512,393",2/27/21
856,Natiruts,"1,284,627,208",211,0,1,33,147,NA,NA,group,856,"17,687,599",8/30/21
857,Bruno Martini,"1,284,419,429",94,0,2,15,33,NA,NA,solo,857,"17,263,864",10/7/21
