#,Performer,Lead_Streams,Tracks,1b+,100m+,10m+,1m+,min,debut,artist_type,,Featured Streams,Last Update
221,Fifth Harmony,"4,199,815,846",75,1,7,46,74,8/3/13,3036,group,221,"247,695,379",11/23/21
222,Disclosure,"4,184,709,087",181,0,7,52,119,NA,NA,group,222,"23,287,083",10/18/21
223,Slipknot,"4,184,381,489",206,0,7,64,172,NA,NA,group,223,"21,684",11/3/21
224,Bon Jovi,"4,174,209,559",323,0,9,35,174,2/25/84,13788,group,224,"1,235,783",11/23/21
225,Dalex,"4,140,868,214",124,0,11,42,87,NA,NA,solo,225,"890,939,448",11/18/21
226,Chance the Rapper,"4,135,518,442",101,0,11,46,84,NA,NA,solo,226,"3,405,858,846",11/15/21
227,Kings of Leon,"4,098,066,782",121,0,5,65,106,NA,NA,group,227,"1,359,186",11/7/21
228,Florida Georgia Line,"4,075,078,150",113,0,12,64,97,2/9/13,3211,group,228,"2,231,147,781",9/25/21
229,Alicia Keys,"4,055,625,579",224,0,7,53,163,6/16/01,7467,solo,229,"1,139,536,342",11/21/21
230,Melanie Martinez,"4,045,142,913",55,0,13,42,54,12/8/12,3274,solo,230,"2,996,888",11/23/21
231,Tame Impala,"4,041,219,572",94,0,8,55,82,NA,NA,group,231,"135,563,404",10/18/21
232,Tove Lo,"4,038,233,092",135,0,6,58,103,6/14/14,2721,solo,232,"1,266,147,479",10/24/21
233,6LACK,"4,029,378,010",74,0,10,59,74,4/1/17,1699,solo,233,"760,292,768",11/22/21
234,Megan Thee Stallion,"4,021,560,868",114,0,10,40,85,4/20/19,950,solo,234,"950,419,105",11/23/21
235,Playboi Carti,"3,986,062,038",83,0,8,62,71,5/20/17,1650,solo,235,"1,453,063,875",11/23/21
236,The Lumineers,"3,983,713,331",72,0,8,47,66,6/23/12,3442,group,236,0,9/23/21
237,Natti Natasha,"3,978,872,567",73,0,9,42,62,NA,NA,solo,237,"1,644,270,978",11/22/21
238,Luke Bryan,"3,976,979,274",158,0,12,62,130,8/18/07,5213,solo,238,"367,135,310",9/16/21
239,The Script,"3,976,071,334",94,0,7,50,84,12/19/09,4359,group,239,"1,281,985",10/17/21
240,Zion & Lennox,"3,972,787,863",156,0,11,44,87,NA,NA,group,240,"2,664,955,655",10/15/21
241,Five Finger Death Punch,"3,970,173,481",136,0,8,88,132,8/20/11,3750,group,241,0,10/9/21
242,Christian Nodal,"3,964,867,280",58,0,11,48,58,NA,NA,solo,242,"302,777,194",11/14/21
243,Glee Cast,"3,957,552,752",723,0,0,92,597,6/6/09,4555,group,243,0,11/21/21
244,Alesso,"3,946,369,610",114,0,9,36,84,NA,NA,solo,244,"156,063,156",10/31/21
245,Florence + The Machine,"3,928,976,497",133,0,8,75,123,9/25/10,4079,group,245,"222,940",11/4/21
246,Jason Mraz,"3,901,732,390",233,1,5,45,152,5/3/03,6781,solo,246,"88,467,014",9/2/21
247,Galantis,"3,898,603,795",226,0,8,45,143,7/30/16,1944,group,247,"73,696,074",11/21/21
248,Nickelback,"3,874,882,681",148,0,12,53,104,9/8/01,7383,group,248,0,11/20/21
249,Creedence Clearwater Revival,"3,872,904,132",130,0,8,32,106,9/7/68,19437,group,249,"6,523,612",11/23/21
250,Paulo Londra,"3,868,179,740",22,0,12,22,22,NA,NA,solo,250,"100,095,046",11/21/21
251,ABBA,"3,860,282,603",160,0,9,48,137,6/1/74,17344,group,251,"26,419",11/17/21
252,Lil Pump,"3,857,197,872",54,0,10,38,53,9/30/17,1517,solo,252,"466,916,581",10/23/21
253,Bruce Springsteen,"3,848,991,340",783,0,9,53,370,9/20/75,16868,solo,253,"34,127,124",11/22/21
254,Madonna,"3,827,113,733",706,0,7,64,311,10/29/83,13907,solo,254,"121,576,416",11/23/21
255,Gusttavo Lima,"3,820,481,930",271,0,6,92,208,NA,NA,solo,255,"721,316,182",11/19/21
256,Kehlani,"3,810,984,576",110,0,9,73,96,8/27/16,1916,solo,256,"1,809,802,971",11/11/21
257,Z?Neto & Cristiano,"3,804,493,003",163,0,10,74,139,NA,NA,group,257,"424,237,782",11/15/21
258,Whitney Houston,"3,801,158,616",291,0,7,36,138,5/11/85,13347,solo,258,"11,173,005",11/23/21
259,Niall Horan,"3,799,272,392",70,0,11,38,64,10/15/16,1867,solo,259,"344,375,558",11/9/21
260,Rammstein,"3,798,495,643",228,0,9,75,169,NA,NA,group,260,"3,437,128",11/22/21
